area_wk;tarefa_WK;descritivo;analista;data_aloc;inicio_wk;fim_wk;comp_est;comp_real;tempo_est_h;prazo_est;prazo_real;crit_aloc;resum_exec;data_envio;data_aval;retorno;status;xp_creditada
Societário;Integração societária;;Abel;2026-01-01 09:00:00;2026-01-01 09:00:00.000000000;2026-01-01 11:00:00.000000000;1,0;;2,0;2026-01-01 11:00:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Contratos;Contrato de Manutenção de Sistemas;;Adão;2026-01-01 09:01:00;2026-01-01 09:01:00.000000000;2026-01-02 09:00:59.999999999;3,0;;8,0;2026-01-02 09:00:59.999999999;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Contratos;Contrato de trabalho;;Davi;2026-01-01 09:02:00;2026-01-01 09:02:00.000000000;2026-01-01 11:02:00.000000000;1,0;;2,0;2026-01-01 11:02:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Societário;Consolidação das versões finais dos documentos;;Abraão;2026-01-01 09:03:00;2026-01-01 09:03:00.000000000;2026-01-01 11:03:00.000000000;1,0;;2,0;2026-01-01 11:03:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Societário;Gestão de conflitos societários;;Eva;2026-01-01 09:04:00;2026-01-01 09:04:00.000000000;2026-01-01 11:04:00.000000000;1,0;;2,0;2026-01-01 11:04:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Societário;Organização de livros societários;;Abel;2026-01-02 09:00:00;2026-01-02 09:00:00.000000000;2026-01-02 11:00:00.000000000;1,0;;2,0;2026-01-02 11:00:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Societário;Estruturação de regras de governança;;Abraão;2026-01-02 09:01:00;2026-01-02 09:01:00.000000000;2026-01-07 09:00:59.999999999;5,0;;24,0;2026-01-07 09:00:59.999999999;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Contratos;Contrato de Locação;;Adão;2026-01-02 09:02:00;2026-01-02 09:02:00.000000000;2026-01-05 09:01:59.999999999;3,0;;8,0;2026-01-05 09:01:59.999999999;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Societário;Atas de Reunião e Assembleia;;Eva;2026-01-02 09:03:00;2026-01-02 09:03:00.000000000;2026-01-02 13:03:00.000000000;2,0;;4,0;2026-01-02 13:03:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Societário;Regularização societária;;Abel;2026-01-02 09:04:00;2026-01-02 11:00:00.000000000;2026-01-05 11:00:00.000000000;3,0;;8,0;2026-01-05 11:00:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Societário;Gestão jurídica do encerramento de operações;;Eva;2026-01-05 09:00:00;2026-01-05 09:00:00.000000000;2026-01-05 11:00:00.000000000;1,0;;2,0;2026-01-05 11:00:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Contratos;Contrato de Mútuo, Doação ou Comodato;;Davi;2026-01-05 09:01:00;2026-01-05 09:01:00.000000000;2026-01-06 09:00:59.999999999;3,0;;8,0;2026-01-06 09:00:59.999999999;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Societário;Gestão de earn-outs, ajustes de preço e garantias;;Abel;2026-01-05 09:02:00;2026-01-05 11:00:00.000000000;2026-01-05 13:00:00.000000000;1,0;;2,0;2026-01-05 13:00:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Contratos;Contrato de Agência, Franquia ou Parceria Empresarial;;Adão;2026-01-05 09:03:00;2026-01-05 09:03:00.000000000;2026-01-06 09:02:59.999999999;3,0;;8,0;2026-01-06 09:02:59.999999999;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Contratos;Contrato de Mútuo, Doação ou Comodato;;Davi;2026-01-05 09:04:00;2026-01-06 09:00:59.999999999;2026-01-07 09:00:59.999999999;3,0;;8,0;2026-01-07 09:00:59.999999999;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Societário;Due diligence;;Abel;2026-01-06 09:00:00;2026-01-06 09:00:00.000000000;2026-01-08 17:00:00.000000000;5,0;;24,0;2026-01-08 17:00:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Contratos;Contrato de Mandato;;Adão;2026-01-06 09:01:00;2026-01-06 09:02:59.999999999;2026-01-07 09:02:59.999999999;3,0;;8,0;2026-01-07 09:02:59.999999999;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Regulatório;Apoio jurídico em temas de capital mínimo e patrimônio de referência;;Caim;2026-01-06 09:02:00;2026-01-06 09:02:00.000000000;2026-01-06 11:02:00.000000000;1,0;;2,0;2026-01-06 11:02:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Societário;Integração societária;;Eva;2026-01-06 09:03:00;2026-01-06 09:03:00.000000000;2026-01-06 11:03:00.000000000;1,0;;2,0;2026-01-06 11:03:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Societário;Consolidação das versões finais dos documentos;;Eva;2026-01-06 09:04:00;2026-01-06 11:03:00.000000000;2026-01-06 13:03:00.000000000;1,0;;2,0;2026-01-06 13:03:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Societário;Estruturação societária internacional;;Eva;2026-01-07 09:00:00;2026-01-07 09:00:00.000000000;2026-01-09 17:00:00.000000000;5,0;;24,0;2026-01-09 17:00:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
