area_wk;tarefa_WK;descritivo;analista;data_aloc;inicio_wk;fim_wk;comp_est;comp_real;tempo_est_h;prazo_est;prazo_real;crit_aloc;resum_exec;data_envio;data_aval;retorno;status;xp_creditada
Propriedade intelectual;Gestão de portfólio de marcas (renovações, extensões e classes);;Abel;2026-01-01 09:00:00;2026-01-01 09:00:00.000000000;2026-01-01 13:00:00.000000000;2,0;;4,0;2026-01-01 13:00:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Contratos;Contrato de Manutenção de Sistemas;;Adão;2026-01-01 09:01:00;2026-01-01 09:01:00.000000000;2026-01-02 09:00:59.999999999;3,0;;8,0;2026-01-02 09:00:59.999999999;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Contratos;Contrato de trabalho;;Davi;2026-01-01 09:02:00;2026-01-01 09:02:00.000000000;2026-01-01 11:02:00.000000000;1,0;;2,0;2026-01-01 11:02:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Societário;Consolidação das versões finais dos documentos;;Abraão;2026-01-01 09:03:00;2026-01-01 09:03:00.000000000;2026-01-01 11:03:00.000000000;1,0;;2,0;2026-01-01 11:03:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Societário;Gestão de conflitos societários;;Eva;2026-01-01 09:04:00;2026-01-01 09:04:00.000000000;2026-01-01 11:04:00.000000000;1,0;;2,0;2026-01-01 11:04:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Societário;Organização de livros societários;;Abraão;2026-01-01 09:05:00;2026-01-01 11:03:00.000000000;2026-01-01 13:03:00.000000000;1,0;;2,0;2026-01-01 13:03:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Societário;Estruturação de regras de governança;;Eva;2026-01-01 09:06:00;2026-01-01 11:04:00.000000000;2026-01-06 11:03:59.999999999;5,0;;24,0;2026-01-06 11:03:59.999999999;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Contratos;Contrato de Locação;;Davi;2026-01-01 09:07:00;2026-01-01 11:02:00.000000000;2026-01-02 11:02:00.000000000;3,0;;8,0;2026-01-02 11:02:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Societário;Atas de Reunião e Assembleia;;Abel;2026-01-01 09:08:00;2026-01-01 13:00:00.000000000;2026-01-01 17:00:00.000000000;2,0;;4,0;2026-01-01 17:00:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Regulatório;Apoio jurídico à governança de instituições reguladas;;Caim;2026-01-01 09:09:00;2026-01-01 09:09:00.000000000;2026-01-02 09:09:00.000000000;3,0;;8,0;2026-01-02 09:09:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Governança;Política de Governaça Corporativa;;Isaque;2026-01-01 09:10:00;2026-01-01 09:10:00.000000000;2026-01-02 09:10:00.000000000;3,0;;8,0;2026-01-02 09:10:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Contratos;Contrato de Mútuo, Doação ou Comodato;;Adão;2026-01-01 09:11:00;2026-01-02 09:00:59.999999999;2026-01-05 09:00:59.999999999;3,0;;8,0;2026-01-05 09:00:59.999999999;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Regulatório;Preparação de informações e documentos para fiscalização;;Caim;2026-01-01 09:12:00;2026-01-02 09:09:00.000000000;2026-01-06 09:09:00.000000000;4,0;;16,0;2026-01-06 09:09:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Contratos;Contrato de Agência, Franquia ou Parceria Empresarial;;Davi;2026-01-01 09:13:00;2026-01-02 11:02:00.000000000;2026-01-05 11:02:00.000000000;3,0;;8,0;2026-01-05 11:02:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Contratos;Contrato de Mútuo, Doação ou Comodato;;Adão;2026-01-01 09:14:00;2026-01-05 09:00:59.999999999;2026-01-06 09:00:59.999999999;3,0;;8,0;2026-01-06 09:00:59.999999999;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
Governança;Política de PLDFTP e Fraudes;;Isaque;2026-01-02 09:00:00;2026-01-02 09:10:00.000000000;2026-01-05 09:10:00.000000000;3,0;;8,0;2026-01-05 09:10:00.000000000;;ESPECIALIZACAO + WORKLOAD_REMANESCENTE;;;;;CONCLUIDA;True
